# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.01.2020 по 31.12.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2020 15:00";"-2.6";"752.8";"767.9";"0.0";"93";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"-3.6";"";"";"";"";"";"";
"30.12.2020 12:00";"-3.1";"752.8";"767.9";"1.0";"95";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"-3.8";"";"";"";"";"";"";
"30.12.2020 09:00";"-3.6";"751.8";"766.9";"0.5";"92";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дымка. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-5.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"4.0";"-4.8";"1.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0";
"30.12.2020 06:00";"-3.9";"751.3";"766.5";"0.3";"89";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-5.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-5.5";"1.0";"12";"";"";"";"";
"30.12.2020 03:00";"-4.3";"751.0";"766.2";"0.0";"92";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-5.4";"";"";"";"";"";"";
"30.12.2020 00:00";"-5.0";"751.0";"766.2";"-0.9";"88";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-6.7";"";"";"";"";"";"";
"29.12.2020 21:00";"-5.1";"751.9";"767.2";"-1.2";"87";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";"Ливневый град, или дождь и град. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-4.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"-7.0";"Следы осадков";"12";"";"";"";"";
"29.12.2020 18:00";"-5.3";"753.1";"768.4";"-1.0";"84";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-7.6";"Осадков нет";"12";"";"";"";"";
"29.12.2020 15:00";"-4.6";"754.1";"769.4";"-1.4";"79";"Ветер, дующий с юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-7.7";"";"";"";"";"";"";
"29.12.2020 12:00";"-5.6";"755.5";"770.8";"-0.7";"84";"Ветер, дующий с юго-востока";"2";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"60%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-7.9";"";"";"";"";"";"";
"29.12.2020 09:00";"-7.3";"756.2";"771.7";"-0.9";"87";"Ветер, дующий с юго-востока";"2";"";"";"40%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-10.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"4.0";"-9.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"13.0";
"29.12.2020 06:00";"-9.1";"757.1";"772.7";"-1.3";"91";"Штиль, безветрие";"0";"";"";"20–30%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-10.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-10.3";"Осадков нет";"12";"";"";"";"";
"29.12.2020 03:00";"-10.1";"758.4";"774.1";"-0.4";"92";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-11.1";"";"";"";"";"";"";
"29.12.2020 00:00";"-9.0";"758.8";"774.5";"-0.4";"92";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-10.1";"";"";"";"";"";"";
"28.12.2020 21:00";"-8.6";"759.2";"774.9";"0.1";"91";"Штиль, безветрие";"0";"";"";"20–30%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"-5.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-9.8";"Осадков нет";"12";"";"";"";"";
"28.12.2020 18:00";"-7.5";"759.1";"774.7";"0.0";"88";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-9.2";"Осадков нет";"12";"";"";"";"";
"28.12.2020 15:00";"-6.0";"759.1";"774.5";"-0.3";"82";"Ветер, дующий с юго-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-8.6";"";"";"";"";"";"";
"28.12.2020 12:00";"-6.5";"759.4";"775.0";"0.3";"86";"Ветер, дующий с юго-юго-востока";"1";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-8.5";"";"";"";"";"";"";
"28.12.2020 09:00";"-6.9";"759.1";"774.5";"0.9";"91";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-8.7";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"4.0";"-8.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0";
"28.12.2020 06:00";"-7.9";"758.2";"773.8";"0.6";"92";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-8.7";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-9.0";"Осадков нет";"12";"";"";"";"";
"28.12.2020 03:00";"-6.8";"757.6";"773.2";"0.6";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-9.0";"";"";"";"";"";"";
"28.12.2020 00:00";"-6.8";"757.0";"772.4";"1.5";"83";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-9.2";"";"";"";"";"";"";
"27.12.2020 21:00";"-6.8";"755.5";"770.9";"1.6";"83";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-4.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-9.2";"Следы осадков";"12";"";"";"";"";
"27.12.2020 18:00";"-6.6";"753.9";"769.3";"2.1";"81";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-9.4";"Следы осадков";"12";"";"";"";"";
"27.12.2020 15:00";"-5.6";"751.8";"767.1";"2.3";"70";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-10.3";"";"";"";"";"";"";
"27.12.2020 12:00";"-5.5";"749.5";"764.7";"2.5";"78";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"-8.7";"";"";"";"";"";"";
"27.12.2020 09:00";"-4.9";"747.0";"762.1";"2.9";"74";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"-4.9";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"-8.8";"0.9";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0";
"27.12.2020 06:00";"-4.5";"744.1";"759.2";"1.5";"82";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"-4.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-7.1";"0.9";"12";"";"";"";"";
"27.12.2020 03:00";"-3.7";"742.6";"757.6";"1.4";"76";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-7.3";"";"";"";"";"";"";
"27.12.2020 00:00";"-1.8";"741.2";"756.1";"0.5";"85";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-4.0";"";"";"";"";"";"";
"26.12.2020 21:00";"-1.1";"740.7";"755.5";"-0.2";"81";"Ветер, дующий с юго-запада";"1";"";"";"90  или более, но не 100%";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-4.0";"Следы осадков";"12";"";"";"";"";
"26.12.2020 18:00";"-0.5";"740.9";"755.7";"0.4";"77";"Ветер, дующий с юго-юго-запада";"1";"";"";"90  или более, но не 100%";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-4.0";"0.4";"12";"";"";"";"";
"26.12.2020 15:00";"0.2";"740.5";"755.2";"0.4";"83";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.4";"";"";"";"";"";"";
"26.12.2020 12:00";"0.1";"740.1";"754.8";"0.9";"81";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.8";"";"";"";"";"";"";
"26.12.2020 09:00";"-0.1";"739.2";"753.9";"0.5";"94";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Дымка. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-4.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"4.0";"-0.9";"2.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"14.0";
"26.12.2020 06:00";"-1.9";"738.7";"753.5";"-0.3";"96";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-4.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-2.4";"3.0";"12";"";"";"";"";
"26.12.2020 03:00";"-2.4";"739.0";"753.9";"-0.5";"98";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"";"-2.7";"";"";"";"";"";"";
"26.12.2020 00:00";"-3.3";"739.5";"754.3";"0.4";"96";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"";"-3.8";"";"";"";"";"";"";
"25.12.2020 21:00";"-4.3";"739.1";"754.0";"-0.2";"93";"Ветер, дующий с юга";"2";"";"12";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"-2.2";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-5.3";"6.0";"12";"";"";"";"";
"25.12.2020 18:00";"-5.1";"739.3";"754.3";"-0.5";"88";"Ветер, дующий с юго-юго-востока";"2";"";"12";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-6.8";"7.0";"12";"";"";"";"";
"25.12.2020 15:00";"-4.8";"739.8";"754.7";"-0.8";"90";"Ветер, дующий с юго-юго-востока";"4";"10";"12";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"60%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-6.2";"";"";"";"";"";"";
"25.12.2020 12:00";"-4.1";"740.6";"755.6";"-0.6";"94";"Ветер, дующий с юго-юго-востока";"3";"";"12";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-5.0";"";"";"";"";"";"";
"25.12.2020 09:00";"-2.2";"741.2";"756.1";"-1.4";"96";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"-3.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-2.8";"3.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"10.0";
"25.12.2020 06:00";"-1.8";"742.6";"757.4";"-1.8";"96";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-2.4";"0.4";"12";"";"";"";"";
"25.12.2020 03:00";"-2.4";"744.4";"759.4";"-1.4";"88";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-4.1";"";"";"";"";"";"";
"25.12.2020 00:00";"-2.9";"745.8";"760.8";"-1.0";"88";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-4.6";"";"";"";"";"";"";
"24.12.2020 21:00";"-3.2";"746.8";"761.8";"-1.0";"88";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Снег и/или другие виды твердых осадков";"Дождь.";"";"-3.2";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-4.9";"0.7";"12";"";"";"";"";
