# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.09.2021 по 30.09.2021, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.09.2021 06:00";"6.9";"756.8";"770.8";"1.1";"92";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"5.6";"1.0";"12";"";"";"";"";
"28.09.2021 03:00";"7.9";"755.7";"769.5";"0.9";"93";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"6.8";"";"";"";"";"";"";
"28.09.2021 00:00";"8.6";"754.8";"768.6";"0.3";"90";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"7.0";"";"";"";"";"";"";
"27.09.2021 21:00";"8.6";"754.5";"768.3";"0.5";"94";"Ветер, дующий с севера";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"10.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"7.6";"0.6";"12";"";"";"";"";
"27.09.2021 18:00";"9.4";"754.0";"767.8";"0.5";"86";"Ветер, дующий с севера";"3";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"19.0";"7.2";"0.1";"12";"";"";"";"";
"27.09.2021 15:00";"10.0";"753.5";"767.2";"0.7";"82";"Ветер, дующий с севера";"2";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"7.0";"";"";"";"";"";"";
"27.09.2021 12:00";"10.0";"752.8";"766.5";"1.0";"81";"Ветер, дующий с севера";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"6.8";"";"";"";"";"";"";
"27.09.2021 09:00";"9.5";"751.8";"765.4";"0.7";"85";"Ветер, дующий с севера";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"8.9";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"7.1";"Осадков нет";"12";"Затопленная водой.";"8.0";"";"";
"27.09.2021 06:00";"9.3";"751.1";"764.8";"1.4";"87";"Ветер, дующий с севера";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"9.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"7.3";"0.3";"12";"";"";"";"";
"27.09.2021 03:00";"9.6";"749.7";"763.3";"1.9";"90";"Ветер, дующий с севера";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"8.0";"";"";"";"";"";"";
"27.09.2021 00:00";"9.7";"747.8";"761.4";"1.6";"91";"Ветер, дующий с севера";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"8.3";"";"";"";"";"";"";
"26.09.2021 21:00";"9.7";"746.2";"759.8";"1.7";"92";"Ветер, дующий с севера";"2";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"11.4";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"8.5";"0.7";"12";"";"";"";"";
"26.09.2021 18:00";"11.0";"744.5";"758.0";"1.6";"77";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"18.0";"7.1";"1.0";"12";"";"";"";"";
"26.09.2021 15:00";"10.9";"742.9";"756.3";"1.7";"82";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Дождь.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"20.0";"7.9";"";"";"";"";"";"";
"26.09.2021 12:00";"10.1";"741.2";"754.6";"1.6";"86";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Дождь.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"7.9";"";"";"";"";"";"";
"26.09.2021 09:00";"9.5";"739.6";"753.0";"0.9";"91";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"9.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"8.1";"3.0";"12";"Затопленная водой.";"9.0";"";"";
"26.09.2021 06:00";"9.3";"738.7";"752.1";"0.6";"94";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"9.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"8.3";"4.0";"12";"";"";"";"";
"26.09.2021 03:00";"9.8";"738.1";"751.6";"0.2";"94";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"8.9";"";"";"";"";"";"";
"26.09.2021 00:00";"9.7";"737.9";"751.3";"-1.0";"96";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"9.1";"";"";"";"";"";"";
"25.09.2021 21:00";"9.5";"738.9";"752.3";"-0.7";"95";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"10.6";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"8.7";"5.0";"12";"";"";"";"";
"25.09.2021 18:00";"9.5";"739.6";"753.0";"-0.2";"95";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"9.0";"8.8";"4.0";"12";"";"";"";"";
"25.09.2021 15:00";"10.3";"739.8";"753.1";"-0.3";"84";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"7.7";"";"";"";"";"";"";
"25.09.2021 12:00";"9.5";"740.1";"753.5";"-0.5";"86";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"8.0";"7.2";"";"";"";"";"";"";
"25.09.2021 09:00";"9.0";"740.6";"754.1";"0.1";"84";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"8.1";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"18.0";"6.4";"Следы осадков";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"8.0";"";"";
"25.09.2021 06:00";"8.5";"740.5";"754.0";"-0.1";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"8.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"19.0";"6.1";"Осадков нет";"12";"";"";"";"";
"25.09.2021 03:00";"8.2";"740.6";"754.1";"0.1";"88";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"6.3";"";"";"";"";"";"";
"25.09.2021 00:00";"9.2";"740.5";"753.9";"0.4";"79";"Ветер, дующий с юго-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1500-2000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"";"5.7";"";"";"";"";"";"";
"24.09.2021 21:00";"10.0";"740.1";"753.5";"0.5";"72";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"11.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"5.2";"0.1";"12";"";"";"";"";
"24.09.2021 18:00";"10.5";"739.6";"753.0";"0.2";"70";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"5.2";"0.1";"12";"";"";"";"";
"24.09.2021 15:00";"10.7";"739.4";"752.8";"-0.4";"67";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"1500-2000";"";"";"20.0";"4.7";"";"";"";"";"";"";
"24.09.2021 12:00";"8.9";"739.8";"753.2";"-0.7";"83";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"15.0";"6.1";"";"";"";"";"";"";
"24.09.2021 09:00";"8.5";"740.5";"754.0";"-0.3";"77";"Ветер, дующий с юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"6.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"4.7";"Осадков нет";"12";"Затопленная водой.";"6.0";"";"";
"24.09.2021 06:00";"7.7";"740.8";"754.3";"-0.9";"87";"Ветер, дующий с юго-юго-востока";"1";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"7.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"5.6";"Осадков нет";"12";"";"";"";"";
"24.09.2021 03:00";"8.5";"741.7";"755.2";"-1.1";"95";"Ветер, дующий с юга";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"";"7.8";"";"";"";"";"";"";
"24.09.2021 00:00";"8.5";"742.8";"756.3";"-0.9";"97";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"8.1";"";"";"";"";"";"";
"23.09.2021 21:00";"9.0";"743.7";"757.3";"-0.4";"99";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"11.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"8.8";"3.0";"12";"";"";"";"";
"23.09.2021 18:00";"10.2";"744.1";"758.2";"-0.6";"95";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"9.4";"9.0";"12";"";"";"";"";
"23.09.2021 15:00";"11.0";"744.7";"758.8";"-0.9";"94";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"10.0";"";"";"";"";"";"";
"23.09.2021 12:00";"10.2";"745.6";"759.1";"-0.6";"96";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"4.0";"9.6";"";"";"";"";"";"";
"23.09.2021 09:00";"9.0";"746.2";"759.7";"-0.3";"97";"Штиль, безветрие";"0";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Туман или ледяной туман или сильная мгла.";"7.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"";"";"2.0";"8.5";"7.0";"12";"Затопленная водой.";"8.0";"";"";
"23.09.2021 06:00";"7.8";"746.5";"760.1";"-0.6";"99";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Дождь.";"Туман или ледяной туман или сильная мгла.";"7.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"50-100";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"7.7";"0.3";"12";"";"";"";"";
